symbol,edge_name,category,horizon_bars,direction,n_signals,hit_rate,mean_return_bps,std_return_bps,sharpe,t_stat,p_value,expectancy_bps,edge_score,sample_pct
XLE,dow_midweek,TIME_OF_DAY,390,long,2847,0.5796,275.13,920.0,0.613,15.957,0.0,783295.3,15.957,56.13
NQ=F,rvol_high_decile,VOL_REGIME,390,long,1453,0.6958,226.95,542.8,0.857,15.938,0.0,329759.5,15.938,10.63
XLC,momo_acceleration_pos,MOMENTUM,100,long,1456,0.6669,160.86,385.98,1.687,15.903,0.0,234214.2,15.903,28.71
XLI,tod_open_hour,TIME_OF_DAY,390,long,674,0.7151,410.08,669.88,1.255,15.893,0.0,276393.1,15.893,13.29
SLV,tod_power_hour,TIME_OF_DAY,390,long,913,0.7196,1166.13,2219.13,1.077,15.878,0.0,1064681.2,15.878,18.01
GC=F,vol_dry_neg2sd,VOLUME,390,long,982,0.7057,254.81,504.75,1.035,15.819,0.0,250220.2,15.819,7.16
XLE,trend_below_50sma,MOMENTUM,390,long,1979,0.5973,317.56,895.0,0.727,15.784,0.0,628458.6,15.784,39.02
CPER,tod_lunch_lull,TIME_OF_DAY,390,long,1329,0.6223,417.98,966.01,0.887,15.774,0.0,555501.3,15.774,26.26
SI=F,close_at_high,ORDERFLOW,390,long,1801,0.6702,415.68,1119.53,0.761,15.757,0.0,748636.5,15.757,13.13
SPY,trend_below_50sma,MOMENTUM,100,long,1843,0.6739,135.09,368.35,1.484,15.745,0.0,248974.1,15.745,36.37
HYG,golden_cross_state,MOMENTUM,390,long,2801,0.5494,45.41,152.66,0.61,15.741,0.0,127183.4,15.741,55.22
QQQ,inside_bar,STRUCTURE,390,long,678,0.7493,470.16,779.59,1.236,15.704,0.0,318770.4,15.704,13.38
GC=F,rvol_low_decile,VOL_REGIME,390,long,1495,0.7084,190.52,471.56,0.828,15.622,0.0,284826.3,15.622,10.9
DIA,inside_bar,STRUCTURE,390,long,628,0.7532,301.9,485.19,1.275,15.593,0.0,189591.1,15.593,12.39
HYG,tick_imb_negative,ORDERFLOW,390,long,1023,0.6158,85.57,175.7,0.998,15.577,0.0,87538.3,15.577,20.17
XLC,rsi_overbought_70,MEAN_REV,390,long,481,0.7422,439.73,619.53,1.455,15.567,0.0,211508.5,15.567,9.48
YM=F,tick_imb_positive,ORDERFLOW,390,long,2626,0.6931,91.39,301.9,0.62,15.512,0.0,239983.9,15.512,19.21
XLI,vol_dry_neg2sd,VOLUME,390,long,534,0.7397,460.48,687.1,1.373,15.487,0.0,245896.6,15.487,10.53
SPY,inside_bar,STRUCTURE,390,long,553,0.8011,397.83,604.29,1.349,15.481,0.0,219999.6,15.481,10.91
GLD,tod_lunch_lull,TIME_OF_DAY,100,long,1417,0.6598,176.23,428.7,1.664,15.475,0.0,249722.3,15.475,27.97
SLV,dow_midweek,TIME_OF_DAY,100,long,3023,0.6133,264.98,942.08,1.138,15.465,0.0,801041.6,15.465,59.65
SI=F,dow_midweek,TIME_OF_DAY,100,long,8269,0.6018,102.54,602.99,0.688,15.464,0.0,847937.4,15.464,60.3
GLD,bbz_below_2,MEAN_REV,390,long,188,0.9255,872.27,773.75,2.31,15.457,0.0,163986.3,15.457,3.71
XLF,vol_dry_neg2sd,VOLUME,390,long,619,0.769,377.2,608.55,1.27,15.422,0.0,233489.1,15.422,12.19
